                                             TABLE_NAME            COLUMN_NAME
437                                         Proveedores           RazonSocial2
438                               Vis_ResumenCliente_EF            RazonSocial
439                               Vis_ResumenCliente_EF           RazonSocial2
440                                   IOF_TmpXMLReprePF         RazonSocialImp
441                HistoricoPlanLineasContratoProveedor               Unidades
442                                      EstadisCompra2               Unidades
443                          LineasPresupuestoHistorico               Unidades
444                             VIS_IOF_Desglose340_Cab    RazonSocialEmpleado
445                                      Vis_StockAlDia               Unidades
446                  HistoricoCabeceraContratoProveedor            RazonSocial
447                  HistoricoCabeceraContratoProveedor           RazonSocial2
448                         CabeceraContratoCliente_Bak            RazonSocial
449                         CabeceraContratoCliente_Bak      RazonSocialEnvios
450                         CabeceraContratoCliente_Bak           RazonSocial2
451                         CabeceraContratoCliente_Bak     RazonSocial2Envios
452                         Tmp_Imp_RepresentanteFisica         RazonSocialImp
453                        Vis_RHN_AEM_RecursosEmpleado    RazonSocialEmpleado
454                             TmpDetalleCosteProyecto               Unidades
455                             TmpDetalleCosteProyecto            RazonSocial
456                             TmpDetalleCosteProyecto           RazonSocial2
457                             Vis_SPI_ItemSetsDetails               Unidades
458                                    IOF_03xSucesores    RazonSocialEmpleado
459                                  AuxEnviaMatObraCTF               Unidades
460                          VIs_KPI_VentasXResponsable            RazonSocial
461                      TemporalRespErrEmpleadoCertif2            CodigoError
462                                 ENT_TmpCertificados    RazonSocialEmpleado
463                        CabeceraOfertaCliente_170125            RazonSocial
464                        CabeceraOfertaCliente_170125           RazonSocial2
465                                  MemTestErrores2008              TipoError
466                                  MemTestErrores2008           MensajeError
467                       CabeceraContratoProveedor_Bak            RazonSocial
468                       CabeceraContratoProveedor_Bak           RazonSocial2
469                                    pwb_AbonoCompras               Cantidad
470                              Certifica2CodigosError            CodigoError
471                              Certifica2CodigosError       DescripcionError
472                                  LcLlamadasClientes            RazonSocial
473                                LcComisionistaGastos               Unidades
474                              TemporalNOMDPCabCostes    RazonSocialEmpleado
475                              lsysTraceTraspasosExt_        sysRecordsError
476                       CabeceraAlbaranCliente_170125            RazonSocial
477                       CabeceraAlbaranCliente_170125      RazonSocialEnvios
478                       CabeceraAlbaranCliente_170125           RazonSocial2
479                       CabeceraAlbaranCliente_170125     RazonSocial2Envios
480                    CabecerasPedidosAlbaranProveedor            RazonSocial
481                    CabecerasPedidosAlbaranProveedor           RazonSocial2
482                    CabecerasPedidosAlbaranProveedor       _AEL_txtErrorAPI
483                                IOF_184TmpCertSocios    RazonSocialEmpleado
484                                IOF_184TmpCertSocios            RazonSocial
485                               IOF_03xIdentificacion    RazonSocialEmpleado
486                   RHH_TemporalDatosPreviosAusencias    RazonSocialEmpleado
487                             LcVw_psvListado_Partes1            RazonSocial
488                                    SIOF_Cabecera190            RazonSocial
489                  LineasPresupuestoUnidadesHistorico               Unidades
490                        Vis_LcVw_trwDatosEmpUsuarios            RazonSocial
491                         TemporalNomRelacionesDePago    RazonSocialEmpleado
492                                     pwb_AbonoVentas               Cantidad
493                            LineasAlbaranCliente_Bak               Unidades
494                            ProfesionalesExpedientes            RazonSocial
495                               pwb_MovimientoEntrada               Cantidad
496                             CabeceraContratoCliente            RazonSocial
497                             CabeceraContratoCliente      RazonSocialEnvios
498                             CabeceraContratoCliente           RazonSocial2
499                             CabeceraContratoCliente     RazonSocial2Envios
500                             Vis_RHHLisCandDetallado    RazonSocialEmpleado
501                        Tmp_Imp_DatosIdentificativos   RazonSocialPJuridica
502                                    Vis_SPI_ItemSets               Unidades
503                           NOM_AEM_TMPPlantillaMedia    RazonSocialEmpleado
504                      Vis_Mem_ActasPersonasDomicilio    RazonsocialEmpleado
505                                 IOF_Desglose340_Cab    RazonSocialEmpleado
506                                       EstadisVenta2               Unidades
507                                       TmpEdT_Cargos    RazonSocialEmpleado
508                           Vis_Mem_PersonasDomicilio    RazonSocialEmpleado
509                                        pwb_Albarans               Cantidad
510                           CabeceraOfertaCliente_Bak            RazonSocial
511                           CabeceraOfertaCliente_Bak           RazonSocial2
512                              Vis_AEM_PSA_RendCliBas            RazonSocial
513                                 COPIA_EMP2_CLIENTES            RazonSocial
514                                 COPIA_EMP2_CLIENTES           RazonSocial2
515                                     GFP_TmpContaFac            RazonSocial
516                               LineasContratoCliente               Unidades
517                                   Vis_Co_AEM_No_400    RazonSocialEmpleado
518                                    LcLineasDesguace               Unidades
519                              COPIA_EMP2_PROVEEDORES            RazonSocial
520                              COPIA_EMP2_PROVEEDORES           RazonSocial2
521                                   Vis_Co_AEM_No_401    RazonsocialEmpleado
522                                   clientes_30122024            RazonSocial
523                                   clientes_30122024           RazonSocial2
524                               COPIA_EMP100_CLIENTES            RazonSocial
525                               COPIA_EMP100_CLIENTES           RazonSocial2
526                                  LcCabeceraDesguace               Unidades
527                                   Vis_Co_AEM_No_402    RazonsocialEmpleado
528                            COPIA_EMP100_PROVEEDORES            RazonSocial
529                            COPIA_EMP100_PROVEEDORES           RazonSocial2
530                             CabeceraOfertaProveedor            RazonSocial
